"Name","Number"
"Colombo","District - 01"
"Gampaha","District - 02"
"Kalutara","District - 03"
"Kandy","District - 04"
"Matale","District - 05"
"Nuwara Eliya","District - 06"
"Galle","District - 07"
"Matara","District - 08"
"Hambantota","District - 09"
"Jaffna","District - 10"
"Vanni","District - 11"
"Batticaloa","District - 12"
"Digamadulla","District - 13"
"Trincomalee","District - 14"
"Kurunegala","District - 15"
"Puttalam","District - 16"
"Anuradhapura","District - 17"
"Polonnaruwa","District - 18"
"Badulla","District - 19"
"Monaragala","District - 20"
"Ratnapura","District - 21"
"Kegalle","District - 22"
