"DivisionName","DistrictName","DivisionNumber","DistrictNumber"
"Colombo North","Colombo","Division - 001","District - 01"
"Colombo Central","Colombo","Division - 002","District - 01"
"Borella","Colombo","Division - 003","District - 01"
"Colombo East","Colombo","Division - 004","District - 01"
"Colombo West","Colombo","Division - 005","District - 01"
"Dehiwala","Colombo","Division - 006","District - 01"
"Ratmalana","Colombo","Division - 007","District - 01"
"Kolonnawa","Colombo","Division - 008","District - 01"
"Kotte","Colombo","Division - 009","District - 01"
"Kaduwela","Colombo","Division - 010","District - 01"
"Avissawella","Colombo","Division - 011","District - 01"
"Homagama","Colombo","Division - 012","District - 01"
"Maharagama","Colombo","Division - 013","District - 01"
"Kesbewa","Colombo","Division - 014","District - 01"
"Moratuwa","Colombo","Division - 015","District - 01"
"Wattala","Gampaha","Division - 016","District - 02"
"Negombo","Gampaha","Division - 017","District - 02"
"Katana","Gampaha","Division - 018","District - 02"
"Divulapitiya","Gampaha","Division - 019","District - 02"
"Mirigama","Gampaha","Division - 020","District - 02"
"Minuwangoda","Gampaha","Division - 021","District - 02"
"Attanagalla","Gampaha","Division - 022","District - 02"
"Gampaha","Gampaha","Division - 023","District - 02"
"Ja Ela","Gampaha","Division - 024","District - 02"
"Mahara","Gampaha","Division - 025","District - 02"
"Dompe","Gampaha","Division - 026","District - 02"
"Biyagama","Gampaha","Division - 027","District - 02"
"Kelaniya","Gampaha","Division - 028","District - 02"
"Panadura","Kalutara","Division - 029","District - 03"
"Bandaragama","Kalutara","Division - 030","District - 03"
"Horana","Kalutara","Division - 031","District - 03"
"Bulathsinhala","Kalutara","Division - 032","District - 03"
"Matugama","Kalutara","Division - 033","District - 03"
"Kalutara","Kalutara","Division - 034","District - 03"
"Beruwala","Kalutara","Division - 035","District - 03"
"Agalawatta","Kalutara","Division - 036","District - 03"
"Galagedara","Kandy","Division - 037","District - 04"
"Harispattuwa","Kandy","Division - 038","District - 04"
"Pathadumbara","Kandy","Division - 039","District - 04"
"Udadumbara","Kandy","Division - 040","District - 04"
"Teldeniya","Kandy","Division - 041","District - 04"
"Kundasale","Kandy","Division - 042","District - 04"
"Hewaheta","Kandy","Division - 043","District - 04"
"Senkadagala","Kandy","Division - 044","District - 04"
"Kandy","Kandy","Division - 045","District - 04"
